Week,Day,Group,Status,Pre,Main_Workout,Post,Miles,Notes
25,Mon,Gold,,,4mi easy,,4,Base Building
25,Mon,Green,,,3mi easy,,3,
25,Mon,White,,,3mi easy,,3,
25,Mon,Freshman,,,2mi easy,,2,
25,Tue,Gold,Racers,,5x1000@I,,6,
25,Tue,Green,Racers,,4x1000@I,,5,
25,Tue,White,Racers,,3x1000@I,,4,
25,Tue,Freshman,Racers,,3x1000@I,,3,
25,Tue,Gold,Non-Racers,,6mi easy,,6,
25,Tue,Green,Non-Racers,,5mi easy,,5,
25,Tue,White,Non-Racers,,4mi easy,,4,
25,Tue,Freshman,Non-Racers,,3mi easy,,3,
25,Wed,Gold,,,4mi easy,,4,
25,Wed,Green,,,3mi easy,,3,
25,Wed,White,,,3mi easy,,3,
25,Wed,Freshman,,,2mi easy,,2,
25,Thu,Gold,Racers,,5x1k@T + 4x200,,6,
25,Thu,Green,Racers,,4x1k@T + 4x200,,5,
25,Thu,White,Racers,,3x1k@T + 4x200,,4,
25,Thu,Freshman,Racers,,2x1k@T + 4x200,,3,
25,Thu,Gold,Non-Racers,,6mi easy,,6,
25,Thu,Green,Non-Racers,,5mi easy,,5,
25,Thu,White,Non-Racers,,4mi easy,,4,
25,Thu,Freshman,Non-Racers,,3mi easy,,3,
25,Fri,Gold,,,4mi easy,,4,
25,Fri,Green,,,4mi easy,,4,
25,Fri,White,,,2mi easy,,2,
25,Fri,Freshman,,,2mi easy,,2,
25,Sat,Gold,Racers,,3200m Race,,6,
25,Sat,Green,Racers,,3200m Race,,5,
25,Sat,White,Racers,,3200m Race,,4,
25,Sat,Freshman,Racers,,3200m Race,,3,
25,Sat,Gold,Non-Racers,,Long Run 6mi,,6,
25,Sat,Green,Non-Racers,,Long Run 5mi,,5,
25,Sat,White,Non-Racers,,Long Run 4mi,,4,
25,Sat,Freshman,Non-Racers,,Long Run 3mi,,3,
25,Sun,Gold,,,REST,,0,
25,Sun,Green,,,REST,,0,
25,Sun,White,,,REST,,0,
25,Sun,Freshman,,,REST,,0,
