Week,Day,Group,Status,Pre,Main_Workout,Post,Miles,Notes
30,Mon,Gold,,"Foot Drills, Dynamics",6mi easy,Mobility/Strength A,6,"Pre-Christmas Break, Exam Week"
30,Mon,Green,,"Foot Drills, Dynamics",5mi easy,Mobility/Strength A,5,
30,Mon,White,,"Foot Drills, Dynamics",4mi easy,Mobility/Strength A,4,
30,Mon,Freshman,,"Foot Drills, Dynamics",3mi easy,Mobility/Strength A,3,
30,Tue,Gold,,"WU, Dynamics",10min WU; Hills - 30min; 10min CD,Mobility/Strength B,7,
30,Tue,Green,,"WU, Dynamics",10min WU; Hills - 25min; 10min CD,Mobility/Strength B,6,
30,Tue,White,,"WU, Dynamics",10min WU; Hills - 20min; 10min CD,Mobility/Strength B,5,
30,Tue,Freshman,,"WU, Dynamics",10min WU; Hills - 15min; 10min CD,Mobility/Strength B,4,
30,Wed,Gold,,"Awesomizer, Lunge Matrix",5mi easy,"Mobilty A, 18s",5,
30,Wed,Green,,"Awesomizer, Lunge Matrix",4mi easy,"Mobilty A, 18s",4,
30,Wed,White,,"Awesomizer, Lunge Matrix",4mi easy,"Mobilty A, 18s",4,
30,Wed,Freshman,,"Awesomizer, Lunge Matrix",3mi easy,"Mobilty A, 18s",3,
30,Thu,Gold,,"WU, Dynamics",10min WU; Fartlek: 8x1:30 on/ 3:30 off; 10min CD,Mobility/Strength B,8,
30,Thu,Green,,"WU, Dynamics",10min WU; Fartlek: 7x1:30 on/ 3:30 off; 10min CD,Mobility/Strength B,7.5,
30,Thu,White,,"WU, Dynamics",10min WU; Fartlek: 6x1:30 on/ 3:30 off; 10min CD,Mobility/Strength B,6.5,
30,Thu,Freshman,,"WU, Dynamics",10min WU; Fartlek: 5x1:30 on/ 3:30 off; 10min CD,Mobility/Strength B,5,
30,Fri,Gold,,"Foot Drills, Awesomizer",7mi easy,Post Race,7,
30,Fri,Green,,"Foot Drills, Awesomizer",5mi easy,Post Race,5,
30,Fri,White,,"Foot Drills, Awesomizer",4mi easy,Post Race,4,
30,Fri,Freshman,,"Foot Drills, Awesomizer",3mi easy,Post Race,3,
30,Sat,Gold,,"WU, Dynamics",Long Run 8mi,"Mobility A, 21s",8,
30,Sat,Green,,"WU, Dynamics",Long Run 7mi,"Mobility A, 21s",7,
30,Sat,White,,"WU, Dynamics",Long Run 6mi,"Mobility A, 21s",6,
30,Sat,Freshman,,"WU, Dynamics",Long Run 4mi,"Mobility A, 21s",4,
30,Sun,Gold,,"Foot Drills, Mobility A/B",REST,Strength,0,
30,Sun,Green,,"Foot Drills, Mobility A/B",REST,Strength,0,
30,Sun,White,,"Foot Drills, Mobility A/B",REST,Strength,0,
30,Sun,Freshman,,"Foot Drills, Mobility A/B",REST,Strength,0,
