Week,Day,Group,Status,Pre,Main_Workout,Post,Miles,Notes
36,Mon,Gold,,"WU, Dynamics",10min WU; Hills - 35min; 10min CD,Mobility/Strength B,6.5,
36,Mon,Green,,"WU, Dynamics",10min WU; Hills - 30min; 10min CD,Mobility/Strength B,5.5,
36,Mon,White,,"WU, Dynamics",10min WU; Hills - 25min; 10min CD,Mobility/Strength B,4.5,
36,Mon,Freshman,,"WU, Dynamics",10min WU; Hills - 20min; 10min CD,Mobility/Strength B,3.5,
36,Tue,Gold,,"Foot Drills, Dynamics",6mi easy,Strides; Mobility/Strength A,6.0,
36,Tue,Green,,"Foot Drills, Dynamics",5mi easy,Strides; Mobility/Strength A,5.0,
36,Tue,White,,"Foot Drills, Dynamics",4mi easy,Strides; Mobility/Strength A,4.0,
36,Tue,Freshman,,"Foot Drills, Dynamics",3mi easy,Strides; Mobility/Strength A,3.0,
36,Wed,Gold,Non-Racer,"Awesomizer, Lunge Matrix",6mi easy,"Strides; Mobilty A, 18s",6.0,
36,Wed,Gold,Racer,Race Day WU,Race,Post Race,4.0,
36,Wed,Green,Non-Racer,"Awesomizer, Lunge Matrix",5mi easy,"Strides; Mobilty A, 18s",5.0,
36,Wed,Green,Racer,Race Day WU,Race,Post Race,4.0,
36,Wed,White,Non-Racer,"Awesomizer, Lunge Matrix",4mi easy,"Strides; Mobilty A, 18s",4.0,
36,Wed,White,Racer,Race Day WU,Race,Post Race,3.0,
36,Wed,Freshman,Non-Racer,"Awesomizer, Lunge Matrix",3mi easy,"Strides; Mobilty A, 18s",3.0,
36,Wed,Freshman,Racer,Race Day WU,Race,Post Race,3.0,
36,Thu,Gold,,"WU, Dynamics",WU; Pre 30/40; CD,Mobility/Strength B,6.5,
36,Thu,Green,,"WU, Dynamics",WU; Pre 30/40; CD,Mobility/Strength B,5.5,
36,Thu,White,,"WU, Dynamics",WU; Pre 30/40; CD,Mobility/Strength B,4.5,
36,Thu,Freshman,,"WU, Dynamics",WU; Pre 30/40; CD,Mobility/Strength B,3.5,
36,Fri,Gold,,"Foot Drills, Awesomizer",6mi easy,Post Race,6.0,
36,Fri,Green,,"Foot Drills, Awesomizer",5mi easy,Post Race,5.0,
36,Fri,White,,"Foot Drills, Awesomizer",4mi easy,Post Race,4.0,
36,Fri,Freshman,,"Foot Drills, Awesomizer",3mi easy,Post Race,3.0,
36,Sat,Gold,,"WU, Dynamics",Long Run 10.5mi/80min - Progression,"Mobility A, 21s",10.5,
36,Sat,Green,,"WU, Dynamics",Long Run 9mi/70min - Progression,"Mobility A, 21s",9.0,
36,Sat,White,,"WU, Dynamics",Long Run 7mi/50min - Progression,"Mobility A, 21s",7.0,
36,Sat,Freshman,,"WU, Dynamics",Long Run 5.5mi/40min - Progression,"Mobility A, 21s",5.5,
