,Week,Beginning Date,Monday,Monday_Groups,Tuesday,Tuesday_Groups,Wednesday,Wednesday_Groups,Thursday,Thursday_Groups,Friday,Friday_Groups,Saturday,Saturday_Groups,Sunday,Sunday_Groups,Meet,Vol_Gold,Vol_Green,Vol_White,Vol_FR
V,35,1/19,easy,,fartlek: 5-4-3-2-1,,easy,,hills,,easy,,easy,,race,,Centre Indoor Games,49,41,34,27
JV,35,1/19,,,,,,,,,,,LR - Progression,,rest,,,,,,
V,36,1/26,hills,,easy,,race,,Fartlek: 5x5:00@T-2:00@Easy,,easy,,LR - Progression,,,,,48,40,32,27
JV,36,1/26,,,,,easy,,,,,,,,,,,,,,
V,37,2/2,hills,,easy,,fartlek,,easy,,race,,race,,LR,,,45,40,35,30
JV,37,2/2,,,,,race,,,,easy,,LR - Progression,,rest,,"Norton (JV), Eastern (V)",,,,
V,38,2/9,easy,,hills,athlete_groups.html,easy,,Fartlek: 10x1:00@mile - 2:00@easy,athlete_groups.html,easy,,race,,LR - Progression,,,45,40,35,30
JV,38,2/9,,,,,,,Fartlek: 5x1:00@mile - 2:00@easy,,race,,LR - Progression,,rest,,"JCPS #2 (JV), President's Day Inv. (V)",,,,
V,39,2/16,easy,,2x200@mile+12x400@5k (200j) + 2x200@800,athlete_groups.html,easy,,Pre Tempo + 6x200 cut down,athlete_groups.html,easy,,easy,,race,,Norton HS Games (V),45,40,35,30
JV,39,2/16,,,,,,,,,,,12x200@mile (200j)+4x200@800 (45s),athlete_groups.html,rest,,,45,40,35,30
V,40,2/23,easy,,2x200@mile (200j) +8x600@3k (400j) + 4x200@800 (60s),athlete_groups.html,easy,,2x200@800 (60s) +2x300@800 (90s) +1x400@800 (3:00) +2x300@800 (90s) +2x200@800 (60s),,easy,,LR - Progression,,rest,,,45,40,35,30
JV,40,2/23,,,,,,,,,,,,,,,,,,,
V,41,3/2,easy,,3x[600@3k (2:00) + 400@mile (2:00) + 200@800 (1:00)],athlete_groups.html,easy,,race,,easy,,2x200@mile (200j) + 12x200@800 (60s),,rest,,Indoor State,40,35,35,30
JV,41,3/2,,,2x200@mile (200j) +12x400@5k (200j) + 2x200@800 (60s),athlete_groups.html,,,2x200@mile (200j) + 10x300@mile (200j) + 4x200@800 (60s),,,,,,,,,,,,
V,42,3/9,easy,,Time Trial + 400s@3k,,easy,,Split 400s: 300 (1:00) 100 (full recovery) + 200 (1:00) 200 (full recovery) + 300 (1:00) 100,,easy,,LR - Progression,,,,,,,,
JV,42,3/9,,,,,,,,,,,,,,,,,,,
V,43,3/16,easy,,Time Trial,,easy,,10x400@mile + 6x200@800,,easy,,race,,,,Adidas Indoor Nationals,,,,
JV,43,3/16,,,,,,,,,,,Pre Tempo (30/40) +6x200,,,,,,,,
V,44,3/23,easy,,2x200@mile (200j) +8x600@3k (400j) + 4x200@800 (60s),,easy,,12x200@800 (45s),,easy,,Race,,,,Johnny Conn,,,,
JV,44,3/23,,,,,,,,,,,10x300@mile,,,,,,,,
V,45,3/30,easy,,2x200@mile+12x400@3k (200j) + 2x200@800,,easy,,Split 400s: 300 (1:00) 100 (full recovery) + 200 (1:00) 200 (full recovery) + 300 (1:00) 100,,easy,,LR - Progression,,,,,,,,
JV,45,3/30,,,,,,,,,,,,,,,,,,,
V,46,4/6,,,,,,,,,,,,,,,,,,,
JV,46,4/6,,,,,,,,,,,,,,,,,,,
V,47,4/13,,,,,,,,,,,,,,,,,,,
JV,47,4/13,,,,,,,,,,,,,,,,,,,
V,48,4/20,,,,,,,,,,,,,,,,,,,
JV,48,4/20,,,,,,,,,,,,,,,,,,,
V,49,4/27,,,,,,,,,,,,,,,,,,,
JV,49,4/27,,,,,,,,,,,,,,,,,,,
V,50,5/4,,,,,,,,,,,,,,,,,,,
JV,50,5/4,,,,,,,,,,,,,,,,,,,
V,51,5/11,,,,,,,,,,,,,,,,,,,
JV,51,5/11,,,,,,,,,,,,,,,,,,,
V,52,5/18,,,,,,,,,,,,,,,,,,,
JV,52,5/18,,,,,,,,,,,,,,,,,,,
V,53,5/25,,,,,,,,,,,,,,,,,,,
JV,53,5/25,,,,,,,,,,,,,,,,,,,
