Day,Workout_Type,Pre,Post
Any,Race,Race Day WU,Post Race
Any,Time Trial,Race Day WU,Mobility/Strength A
Any,Split 400s,Race Day WU,Post Race
Any,Rest,Foot Drills; Mobility A/B,Strength
Any,LongRunProgression,Awesomizer; Lunge Matrix,Mobility A; Strength B
Any,LongRun,Awesomizer; Lunge Matrix,Strides; Mobility A; 24s
Any,Workout,WU; Dynamics; stride progression,Mobility/Strength B
Friday,Easy,Awesomizer; Foot Drills; Lunge Matrix,6xWickets; Post Race; 24s
Wednesday,Easy,Awesomizer; Lunge Matrix,Strides; Mobility A; 24s
Monday,Easy,Foot Drills; Dynamics; Buildups,Strides; Mobility/Strength A
Any,Easy,WU; Dynamics; stride progression,Strides; Mobility/Strength A
