1,2,3,4,5,6,7,8,9,10,11,12,13,0:05,,,,14,15,16,17,18,19,20,21,,,,,22,,23,,24,25,26,27,25,26,27
1,Race Times,,,,,,,2,3,4,5,6,,,,,7,8,9,10,11,12,13,14,,,,,15,,16,,17,,,,,,
VDOT,5K,,2 mile,,Mile,800m,400m,Aerobic,MP,Tempo,,,Pre 30/40,,,,CV Pace (10k),,,,5K Pace,,,,3k Pace,,,,Mile Pace,,,,,800 Pace,,,400 Pace,,
,Time,Pace,Time,Pace,,,,mile,mile,400,1000,mile,200,200,,,400,800,1000,1200,400,1000,1200,mile,400,600,800,1000,200,300,400,600,800,200,300,400,100,150,200
77,13:44,4:25,8:31,4:15,3:58,1:46,0:45,5:34-6:20,5:01,72,3:00,4:49,31,41,,,68,2:16,2:54,3:27,65,2:46,3:18,4:25,1:03,1:35,2:07,2:38,29,44,59,1:30,2:00,0:26,0:39,0:53,0:11,0:17,0:22
76,13:54,4:28,8:37,4:18,4:02,1:48,0:46,5:38-6:24,5:05,73,3:02,4:52,32,42,,,69,2:18,2:56,3:30,66,2:48,3:20,4:28,1:04,1:36,2:08,2:40,29,45,60,1:31,2:02,0:27,0:40,0:54,0:11,0:17,0:23
75,14:03,4:31,8:43,4:21,4:04,1:49,0:46,5:41-6:28,5:09,74,3:04,4:56,32,42,,,70,2:20,2:57,3:32,67,2:49,3:22,4:31,1:05,1:37,2:10,2:42,30,46,61,1:32,2:03,0:27,0:40,0:54,0:11,0:17,0:23
74,14:13,4:34,8:49,4:24,4:07,1:50,0:47,6:45-6:32,5:12,74,3:06,4:59,32,42,,,71,2:22,2:59,3:35,68,2:51,3:25,4:34,1:05,1:38,2:11,2:44,30,47,62,1:33,2:04,0:27,0:41,0:55,0:11,0:17,0:23
73,14:23,4:37,8:55,4:27,4:10,1:52,0:48,5:49-6:37,5:16,75,3:08,5:02,33,43,,,72,2:23,3:01,3:37,69,2:53,3:27,4:37,1:06,1:39,2:13,2:46,31,47,62,1:33,2:05,0:28,0:42,0:56,0:12,0:18,0:24
72,14:34,4:41,9:02,4:31,4:13,1:53,0:48,5:53-6:41,5:20,76,3:10,5:05,33,43,,,72,2:24,3:03,3:39,69,2:55,3:29,4:40,1:07,1:41,2:14,2:48,31,47,63,1:34,2:06,0:28,0:42,0:56,0:12,0:18,0:24
71,14:44,4:44,9:09,4:34,4:16,1:54,0:49,5:57-6:46,5:24,76,3:12,5:09,33,43,,,74,2:28,3:05,3:41,70,2:57,3:31,4:43,1:08,1:42,2:16,2:50,31,48,64,1:36,2:08,0:28,0:42,0:57,0:12,0:18,0:24
70,14:55,4:48,9:16,4:38,4:19,1:56,0:49,6:01-6:50,5:28,77,3:14,5:13,34,44,,,75,2:30,3:07,3:44,71,2:59,3:34,4:46,1:09,1:43,2:18,2:52,32,49,65,1:37,2:10,0:29,0:43,0:58,0:12,0:18,0:24
69,15:06,4:51,9:23,4:41,4:23,1:57,0:50,6:06-6:55,5:32,78,3:16,5:16,34,44,,,76,2:32,3:10,3:46,72,3:01,3:36,4:50,1:09,1:44,2:19,2:54,32,50,66,1:39,2:12,0:29,0:43,0:58,0:12,0:18,0:25
