Week,Week_Start,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
1,2026-05-25,Mon,Gold,,Foot Drills; Dynamics; Buildups,4mi easy,Strides; Mobility/Strength A,4.0,,
1,2026-05-25,Mon,Green,,Foot Drills; Dynamics; Buildups,3.5mi easy,Strides; Mobility/Strength A,3.5,,
1,2026-05-25,Mon,White,,Foot Drills; Dynamics; Buildups,2.5mi easy,Strides; Mobility/Strength A,2.5,,
1,2026-05-25,Mon,Blue,,Foot Drills; Dynamics; Buildups,0mi easy,Strides; Mobility/Strength A,0.0,,
1,2026-05-25,Tue,Gold,,WU; Dynamics; stride progression,4mi easy,Strides; Mobility/Strength A,4.0,,
1,2026-05-25,Tue,Green,,WU; Dynamics; stride progression,3.5mi easy,Strides; Mobility/Strength A,3.5,,
1,2026-05-25,Tue,White,,WU; Dynamics; stride progression,2.5mi easy,Strides; Mobility/Strength A,2.5,,
1,2026-05-25,Tue,Blue,,WU; Dynamics; stride progression,0mi easy,Strides; Mobility/Strength A,0.0,,
1,2026-05-25,Wed,Gold,,Awesomizer; Lunge Matrix,4mi easy,Strides; Mobility A; 24s,4.0,,
1,2026-05-25,Wed,Green,,Awesomizer; Lunge Matrix,3.5mi easy,Strides; Mobility A; 24s,3.5,,
1,2026-05-25,Wed,White,,Awesomizer; Lunge Matrix,2.5mi easy,Strides; Mobility A; 24s,2.5,,
1,2026-05-25,Wed,Blue,,Awesomizer; Lunge Matrix,0mi easy,Strides; Mobility A; 24s,0.0,,
1,2026-05-25,Thu,Gold,,WU; Dynamics; stride progression,4mi easy,Strides; Mobility/Strength A,4.0,,
1,2026-05-25,Thu,Green,,WU; Dynamics; stride progression,3.5mi easy,Strides; Mobility/Strength A,3.5,,
1,2026-05-25,Thu,White,,WU; Dynamics; stride progression,2.5mi easy,Strides; Mobility/Strength A,2.5,,
1,2026-05-25,Thu,Blue,,WU; Dynamics; stride progression,0mi easy,Strides; Mobility/Strength A,0.0,,
1,2026-05-25,Fri,Gold,,Awesomizer; Foot Drills; Lunge Matrix,4mi easy,6xWickets; Post Race; 24s,4.0,,
1,2026-05-25,Fri,Green,,Awesomizer; Foot Drills; Lunge Matrix,3.5mi easy,6xWickets; Post Race; 24s,3.5,,
1,2026-05-25,Fri,White,,Awesomizer; Foot Drills; Lunge Matrix,2.5mi easy,6xWickets; Post Race; 24s,2.5,,
1,2026-05-25,Fri,Blue,,Awesomizer; Foot Drills; Lunge Matrix,0mi easy,6xWickets; Post Race; 24s,0.0,,
1,2026-05-25,Sat,Gold,,Awesomizer; Lunge Matrix,Long Run 7mi,Strides; Mobility A; 24s,7.0,,
1,2026-05-25,Sat,Green,,Awesomizer; Lunge Matrix,Long Run 5.5mi,Strides; Mobility A; 24s,5.5,,
1,2026-05-25,Sat,White,,Awesomizer; Lunge Matrix,Long Run 4.5mi,Strides; Mobility A; 24s,4.5,,
1,2026-05-25,Sat,Blue,,Awesomizer; Lunge Matrix,Long Run 0mi,Strides; Mobility A; 24s,0.0,,
1,2026-05-25,Sun,Gold,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
1,2026-05-25,Sun,Green,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
1,2026-05-25,Sun,White,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
1,2026-05-25,Sun,Blue,,Foot Drills; Mobility A/B,REST,Strength,0.0,,
