Workout_ID,Short_Name,Full_Description,Key_Points,Pace_Info,Duration
fartlek-5-4-3-2-1,5-4-3-2-1 Fartlek,"Progressive fartlek workout with descending intervals: 5min, 4min, 3min, 2min, 1min hard efforts with half-time recovery jogs between each interval.","• Start at tempo effort (5min) and progress to 800m pace (1min)|• Recovery jogs are HALF the time of the hard effort|• Example: 5min hard, 2:30 jog, 4min hard, 2min jog, etc.|• Total hard time: 15 minutes|• Focus on negative splitting each interval","5min: M/T pace, 4min: 5k pace, 3min: 3k pace, 2min: Mile pace, 1min: 800m pace",~30min
hills-20,Hills - 20min,"Continuous hill running for 20min. Hard effort up the hill, recovery pace down the hill",,Effort,20min
hills-25,Hills - 25min,"Continuous hill running for 25min. Hard effort up the hill, recovery pace down the hill",,Effort,25min
hills-30,Hills - 30min,"Continuous hill running for 30min. Hard effort up the hill, recovery pace down the hill",,Effort,30min
hills-35,Hills - 35min,"Continuous hill running for 35min. Hard effort up the hill, recovery pace down the hill",,Effort,35min
hills-40,Hills - 40min,"Continuous hill running for 40min. Hard effort up the hill, recovery pace down the hill",,Effort,40min
long-run-progression,Long Run - Progression,Long run starting easy and progressing to moderate/tempo effort in final portion. Build gradually throughout.,• First 60-70% at easy/conversational pace|• Middle 20-25% at steady/moderate pace|• Final 10-15% at tempo effort|• No specific splits - run by feel|• Focus on relaxed form throughout,"Start: Easy pace, Finish: M-T pace",varies
tempo-20,Tempo Run - 20min,Sustained threshold effort for 20 minutes. 'Comfortably hard' pace you could hold for about an hour in a race.,• Start controlled - don't go out too fast|• Should feel comfortably hard throughout|• Breathing: rhythmic but labored|• Focus on relaxed shoulders and efficient stride|• This is NOT a time trial - steady effort,Use T pace from chart,20min
tempo-25,Tempo Run - 25min,Sustained threshold effort for 25 minutes. 'Comfortably hard' pace you could hold for about an hour in a race.,• Start controlled - don't go out too fast|• Should feel comfortably hard throughout|• Breathing: rhythmic but labored|• Focus on relaxed shoulders and efficient stride|• This is NOT a time trial - steady effort,Use T pace from chart,25min
strides-4x200,Strides - 4x200m,"4 x 200m accelerations with full recovery. Build to 85-90% effort, focusing on form and relaxation.","• Gradual acceleration over first 50m|• Hold smooth, relaxed speed for middle 100m|• Gradual deceleration over final 50m|• Walk back to start between reps|• Focus: form, not speed","5k pace or slightly faster, relaxed",~8min
strides-6x200,Strides - 6x200m,"6 x 200m accelerations with full recovery. Build to 85-90% effort, focusing on form and relaxation.","• Gradual acceleration over first 50m|• Hold smooth, relaxed speed for middle 100m|• Gradual deceleration over final 50m|• Walk back to start between reps|• Focus: form, not speed","5k pace or slightly faster, relaxed",~12min
easy-run,Easy Run,Conversational pace run for aerobic base building. Should be able to speak in complete sentences.,• True easy effort - don't push the pace|• This builds your aerobic engine,"E pace from chart, conversational",varies
pre-30-40,Pre 30/40,Run the specified number of laps alternating pace every 200m.,• NO stopping between 400s - continuous workout|• First 200m of each lap: Pre 30 pace (faster)|• Second 200m of each lap: Pre 40 pace (slower)|• Focus on smooth transitions between paces|• Hit your assigned paces from chart - don't guess|• Number of reps depends on your group assignment|• This builds speed endurance and pace change ability,See Pre 30/40 pace chart for your specific paces,varies by group
